AFFAIRE;POINT;PRESTATION;PRS_OPTION;FOURNISSEUR;STATUT;ETAT_EXTERNE;ETAT_INTERNE;DATE_DEMANDE;DATE_EFFET;MOD_RDV;MEDIA;REGION;TERRITOIRE;SGEL;GINKO;STR_TAR_ST_FORTARACH
A04RMPDL;25164544047799;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Marseille (251);O;O;BTINFMU4
A04RMPT8;07456150499744;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFCU4
A04RMP1X;25193053477305;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Marseille (251);O;O;BTINFMU4
A04RMQ26;25272648249776;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Provence (252);O;O;BTINFMU4
A04RMRF1;14673806029267;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Iroise (146);O;O;BTINFCU4
A04RMR5J;14225036138855;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Nantes Atlantique (142);O;O;BTINFCU4
A04RMTS8;07502894319507;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFCU4
A04RMUMT;23152966702405;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Grand Toulouse (231);O;O;BTINFMU4
A04RMV12;24351374785314;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Montpellier Herault (243);O;O;BTINFCU4
A04RMV5W;07469753893638;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RMV85;24227351633430;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Pyrenees Roussillon (242);O;O;BTINFCU4
A04RN0KB;17199276349511;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Clermont-Ferrand (171);O;O;BTINFMU4
A04RN0LN;25485093967598;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;19/02/2020;;EAI;M8 - Méditerranée;M100 - Nice Alpes Cote D'azur (254);O;O;BTINFMU4
A04RN13M;07187698950982;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris pyramide (071);O;O;BTINFMU4
A04RN0UX;07229377621617;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Aurore (072);O;O;BTINFMU4
A04RN2G1;14294355965156;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Nantes Atlantique (142);O;O;BTINFCU4
A04RN1PX;25149203959210;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Marseille (251);O;O;BTINFMU4
A04RN257;07493777050621;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RN344;07309840773299;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFMU4
A04RN4Z9;05558031784509;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Metz Lorraine (055);O;O;BTINFMU4
A04RN6GQ;19194789973470;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;25/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Lyon metropole (191);O;O;BTINFCU4
A04RN80W;02370043387345;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Le Havre Porte Oceane (023);O;O;BTINFCU4
A04RN8GF;15450361744875;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Vienne et Sevres (154);O;O;BTINFMU4
A04RNABB;21576410948740;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Asnieres (215);O;O;BTINFMU4
A04RNBC8;07383936247223;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFMU4
A04RNBR0;06368451468336;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Alsace (063);O;O;BTINFCU4
A04RNCSY;02396092597168;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Le Havre Porte Oceane (023);O;O;BTINFMU4
A04RND7R;21257597547512;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Oise (016);O;O;BTINFMU4
A04RNCU1;01675687363582;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;18/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Pays de Somme (016);O;O;BTINFMU4
A04RNCV4;22296526748389;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Essonne (222);O;O;BTINFMU4
A04RNFE7;05172648304030;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Nancy Lorraine (051);O;O;BTINFMU4
A04RNFG9;07442112810437;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFCU4
A04RNH0V;19793487577084;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Drome-Ardeche (197);O;O;BTINFCU4
A04RNJID;07285383459250;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RNM7E;14465991314186;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Ouest;M100 - Ille-et-Vilaine (144);O;O;BTINFCU4
A04RNPV6;23144138776758;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Sud Ouest;M100 - Grand Toulouse (231);O;O;BTINFCU4
A04RNR6W;09770911658835;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Touraine (097);O;O;BTINFMU4
A04RNSAD;07303907343312;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFMU4
A04RNT5M;19848191011601;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Loire (198);O;O;BTINFMU4
A04RNU70;05598697525755;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Est;M100 - Metz Lorraine (055);O;O;BTINFCU4
A04RNVYZ;19852387827882;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Loire (198);O;O;BTINFCU4
A04RNYDM;01669464507001;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Pays de Somme (016);O;O;BTINFMU4
A04RNYHX;01261070872881;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;20/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Hainaut-Cambresis (012);O;O;BTINFMU4
A04RL53Q;01565991275685;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Cote d'Opale (015);O;O;BTINFMU4
A04RLDAA;22331259035527;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Villejuif (223);O;O;BTINFMU4
A04RLG3X;07119536899963;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris pyramide (071);O;O;BTINFMU4
A04RLN33;25132561394808;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Marseille (251);O;O;BTINFMU4
A04RLMTJ;09567872608576;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;19/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Loiret (095);O;O;BTINFMU4
A04RLMGC;12277568699483;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Cote d'Or (122);O;O;BTINFCU4
A04RLPNJ;14443415296146;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Ille-et-Vilaine (144);O;O;BTINFCU4
A04RLN6K;04139942062480;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Pays de l'Aisne (041);O;O;BTINFMU4
A04RLNP9;07423733705658;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RLNRQ;07583067968162;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RLQ2C;01200578820540;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Hainaut-Cambresis (012);O;O;BTINFMU4
A04RLQF9;05207525320372;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Nancy Lorraine (051);O;O;BTINFCU4
A04RLR7H;16407525265783;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Sud-Aquitaine (164);O;O;BTINFCU4
A04RLVMH;14484225757642;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Ille-et-Vilaine (144);O;O;BTINFCU4
A04RLWA8;14557597678459;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFMU4
A04RLYRX;24376410935922;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Montpellier Herault (243);O;O;BTINFMU4
A04RLZ6V;21470332777717;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Nanterre (214);O;O;BTINFCU4
A04RM15W;21400868281796;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Nanterre (214);O;O;BTINFCU4
A04RM18N;14473227194707;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Ille-et-Vilaine (144);O;O;BTINFMU4
A04RM3SS;07226628059489;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RM3NX;07469609254988;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RM42T;07498408018078;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RM3AW;01144572990536;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;18/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Lille metropole (011);O;O;BTINFMU4
A04RM59T;21281765453635;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Oise (016);O;O;BTINFCU4
A04RM8M4;07469030327437;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RM7I2;07496960919403;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RM7XN;14580173635901;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFMU4
A04RM8RP;21421128772005;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Nanterre (214);O;O;BTINFMU4
A04RM7M3;07275253182466;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Aurore (072);O;O;BTINFCU4
A04RMBBA;01104920373967;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Lille metropole (011);O;O;BTINFMU4
A04RMCS2;21472214097454;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Nanterre (214);O;O;BTINFMU4
A04RMCUB;01148914545202;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Lille metropole (011);O;O;BTINFMU4
A04RMD8I;07470332816431;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFCU4
A04RMF5F;02215774226807;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Normandie Eure (022);O;O;BTINFCU4
A04RMG2C;07194211282536;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris pyramide (071);O;O;BTINFCU4
A04RMGDM;02324891420437;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Le Havre Porte Oceane (023);O;O;BTINFCU4
A04RMHYU;17110998477580;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Clermont-Ferrand (171);O;O;BTINFCU4
A04RMK6V;17539942060240;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Correze-Cantal (175);O;O;BTINFMU4
A04RMKFH;07233429807825;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Aurore (072);O;O;BTINFMU4
A04RMNJS;07526917474533;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RMN6X;09770911719818;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Touraine (097);O;O;BTINFCU4
A04RMPTU;07462807458425;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFCU4
A04RMNTU;01546454353917;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Cote d'Opale (015);O;O;BTINFCU4
A04RMQ3B;19199565745630;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Lyon metropole (191);O;O;BTINFMU4
A04RMPBQ;01278002815779;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Hainaut-Cambresis (012);O;O;BTINFMU4
A04RMQDX;12191895798031;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Bourgogne du sud (121);O;O;BTINFCU4
A04RMQUU;07489869687080;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFCU4
A04RMU5A;09141968119963;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Sarthe (091);O;O;BTINFMU4
A04RMU2M;17339942097903;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Bourbonnais (173);O;O;BTINFMU4
A04RMVH4;01251953657767;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;20/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Hainaut-Cambresis (012);O;O;BTINFMU4
A04RMVZY;07344862505584;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFMU4
A04RMVMF;19197539645612;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Lyon metropole (191);O;O;BTINFCU4
A04RMXJ5;06536613584271;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Franche-Comte Sud (065);O;O;BTINFMU4
A04RMY09;07480752466402;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RMY4L;14565701856514;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFMU4
A04RMYDT;07217945002633;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFCU4
A04RMYW6;07506512264506;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RN0G1;17949782915808;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;24/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Grand Velay (179);O;O;BTINFMU4
A04RN03Y;07417655564963;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RN1T0;14740955105642;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cornouaille (147);O;O;BTINFCU4
A04RN1PK;01490303868398;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Arras (014);O;O;BTINFMU4
A04RN4A5;09555571595665;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Loiret (095);O;O;BTINFMU4
A04RN4EY;07440231515679;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RN45N;07403039001517;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RN4N2;21263096847235;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Oise (016);O;O;BTINFCU4
A04RN5VG;14517366086280;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFCU4
A04RN5GZ;14522141798918;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFCU4
A04RN4RP;01185093907213;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Lille metropole (011);O;O;BTINFMU4
A04RN5Q3;14467004302899;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Ille-et-Vilaine (144);O;O;BTINFCU4
A04RN6XH;21539942050786;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Asnieres (215);O;O;BTINFMU4
A04RN6JL;19492474637227;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;27/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Vienne Pays de Rhone (194);O;O;BTINFMU4
A04RN8RI;17116787204927;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Clermont-Ferrand (171);O;O;BTINFCU4
A04RN984;07385528166103;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFMU4
A04RN9IS;17766425440221;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Cher en Berry (177);O;O;BTINFMU4
A04RNAIZ;07389580241499;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFMU4
A04RNCM8;01516497791460;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Cote d'Opale (015);O;O;BTINFMU4
A04RNB6R;23172069310963;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Grand Toulouse (231);O;O;BTINFMU4
A04RNBC9;25122720613690;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Marseille (251);O;O;BTINFCU4
A04RNDFS;05183357382742;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Nancy Lorraine (051);O;O;BTINFCU4
